ID,URL,Title,body,Country,Group,Protest,Protest_Type,Discrim,Discrim_Type,
1,https://www.youtube.com/watch?v=aIzXozPRkYk,Un Ti- Quebecois noir :  REJEAN  et AREBO ( Full comedy ) YouTube !!,,none,none,0,0,0,0,
3,https://www.youtube.com/watch?v=kmp-NzDLQ9M,freestyle rap quebecois team wolf,,none,none,0,0,0,0,
4,https://www.huffingtonpost.ca/entry/bloc-quebecois-nafta-deal_ca_5e279876c5b6779e9c29c239,Bloc Quebecois Against Fast-Tracking New NAFTA Ratification,,none,none,0,0,0,0,
6,https://www.youtube.com/watch?v=-Kvl4SLJlmM,Top 10 Quebecois Curses (French Canadian),,CAN,none,0,0,0,0,
14,https://www.youtube.com/watch?v=Qu1b1xIKc3w,"How bout use Quebecois Ottawa gone done real good eh, bravo Liberal Party how them random drug tests",,none,none,0,0,0,0,
16,https://newssummedup.com/a/8ci1d4,Bloc Quebecois Leader Martine Ouellet Loses Confidence Vote,,none,quebecois,0,0,0,0,
26,https://atlantic.ctvnews.ca/quebecois-couple-on-quarantined-cruise-ship-in-japan-test-positive-for-coronavirus-1.4813656,Quebecois couple on quarantined cruise ship in Japan test positive for coronavirus,,none,quebecois,0,0,0,0,
29,https://www.thestar.com/news/canada/2020/02/15/quebecois-couple-on-quarantined-cruise-ship-in-japan-test-positive-for-coronavirus.html,Quebecois couple on quarantined cruise ship in Japan test positive for coronavirus,,none,quebecois,0,0,0,0,
30,https://www.citynews1130.com/2020/02/15/quebecois-couple-on-quarantined-cruise-ship-in-japan-test-positive-for-coronavirus/,Quebecois couple on quarantined cruise ship in Japan test positive for coronavirus - NEWS 1130,,none,quebecois,0,0,0,0,
34,https://www.thespec.com/news-story/9855187-quebecois-couple-on-quarantined-cruise-ship-in-japan-test-positive-for-coronavirus/,Quebecois couple on quarantined cruise ship in Japan test positive for coronavirus,,none,quebecois,0,0,0,0,
36,https://frenchly.us/10-quebecois-artists-whose-music-you-should-know/,11 Quebecois Artists Whose Music You Should Know - Frenchly,,none,quebecois,0,0,0,0,
39,http://globalnews.ca/news/6494603/parti-quebecois-says-non-members-can-vote-for-new-leader-for-first-time/,Parti Quebecois says non-members can vote for new leader for first time,,CAN,quebecois,0,0,0,0,
41,https://www.youtube.com/watch?v=CiHbm5WZtaY,"PETIT DEJ QUEBECOIS PRÉPARÉ PAR MICHOU, MOTONEIGE ET VRAIE POUTINE <U+F1E8><U+F1E6> (Vlog Canada 2)",,none,none,0,0,0,0,
47,https://www.youtube.com/watch?v=tIL_pAPi4ZQ,A demonstration of the differences between the French and Quebecois accents - JF Gariépy TPS #659,,none,none,0,0,0,0,
54,https://rssfeeds.cloudsite.builders/2020/02/13/comedian-launches-bid-to-become-leader-of-quebecs-struggling-parti-quebecois/,Comedian Launches Bid To Become Leader Of Quebec’s Struggling Parti Quebecois - RSSFeedsCloud,,none,quebecois,0,0,0,0,
55,https://nationalpost.com/pmn/news-pmn/canada-news-pmn/parti-quebecois-says-non-members-can-vote-for-new-leader-for-first-time,Parti Quebecois says non-members can vote for new leader for first time,,CAN,quebecois,0,0,0,0,
61,http://ask.metafilter.com/341846/Trying-to-find-recent-scholarly-articles-on-Bloc-Quebecoiss-resurgence,Trying to find recent scholarly articles on Bloc Quebecois's resurgence?,,CAN,quebecois,0,0,0,0,
66,https://www.cjme.com/2020/02/15/quebecois-couple-on-quarantined-cruise-ship-in-japan-test-positive-for-coronavirus/,Quebecois couple on quarantined cruise ship in Japan test positive for coronavirus,,none,quebecois,0,0,0,0,
72,https://www.youtube.com/watch?v=hU8rncneAxQ,FRENCH REACT TO Lil Nas X - Rodeo (ft. Nas) / UN QUEBECOIS REAGIS !,,none,none,0,0,0,0,
83,https://www.radioreloj.cu/news/culture/quebecois-documentary-directors-show-experiences-in-cuba/,"Quebecois documentary directors show experiences in Cuba - Radio Reloj, emisora cubana de la hora y las noticias",,none,quebecois,0,0,0,0,
84,https://www.youtube.com/watch?v=FiNSrHCHLkE,L'HUMOUR QUEBECOIS CA DONNE QUOI?,,none,none,0,0,0,0,
86,https://www.pinkbike.com/news/getting-to-know-quebecois-privateer-pinner-hugo-langevin.html,Getting to Know: Quebecois Privateer Pinner Hugo Langevin - Pinkbike,,none,none,0,0,0,0,
95,https://www.youtube.com/watch?v=jOSWtDo3xps,"Interview avec The Overseer, chanteur du groupe Quebecois MAESKYYRN",,none,none,0,0,0,0,
100,https://www.youtube.com/watch?v=rSUzxqQQuHs,Radioactive  -             Franck cote  (cover),,none,none,0,0,0,0,
105,https://www.youtube.com/watch?v=jlDCJ53hAAU,DA STRUGGLE IS REAL (TH for French Canadians),,none,none,0,0,0,0,
112,https://www.youtube.com/watch?v=kgpZBqWRcOc,<U+F3C6> Quebecois Polonais Joueur Profesional  de tetris,,none,none,0,0,0,0,
114,https://www.youtube.com/watch?v=1CKv5jXWEoo,13 Quebecois Libre Wild Ride,,none,none,0,0,0,0,
117,https://www.youtube.com/watch?v=sm3wZP158T8,Triple meutre et suicide raté - Franck cote (cover),,none,none,0,0,0,0,
120,https://www.youtube.com/watch?v=yJMnCMIz8O8,Voyage dans un jeu quebecois : Journey on a the strange planet,,none,none,0,0,0,0,
122,https://www.pscp.tv/jkenney/1kvJpXorZoZJE,"Jason Kenney: ""Answering a question in the #ableg on the recent Alberta-bashing anti-oil comments from the leader of the Bloc Quebecois.""",,none,none,0,0,0,0,
125,https://nationalpost.com/news/ex-bloc-quebecois-leader-longtime-quebec-politician-michel-gauthier-dead-at-70-2,"Ex-Bloc Quebecois leader, longtime Quebec politician Michel Gauthier dead at 70",,CAN,quebecois,0,0,0,0,
131,https://nationalpost.com/pmn/news-pmn/canada-news-pmn/ex-bloc-quebecois-leader-longtime-quebec-politician-michel-gauthier-dead-at-70,"Ex-Bloc Quebecois leader, longtime Quebec politician Michel Gauthier dead at 70",,CAN,quebecois,0,0,0,0,
133,https://www.youtube.com/watch?v=uXVyypvSFj0,"Bloc Quebecois leader outraged that Liberals, Conservatives using wage subsidy to ""fund themselves""",,CAN,quebecois,0,0,0,0,
139,https://www.reddeeradvocate.com/news/ex-bloc-quebecois-leader-longtime-quebec-politician-michel-gauthier-dead-at-70/,"Ex-Bloc Quebecois leader, longtime Quebec politician Michel Gauthier dead at 70",,CAN,quebecois,0,0,0,0,
143,https://www.youtube.com/watch?v=yQPBmrPzAgE,JE FAIS CHIER DES YOUTUBEURS QUEBECOIS SAOUL SUR MADJACK!,,none,none,0,0,0,0,
145,https://nuzzel.com/HonderichEmily/2020/05/08,"“Coronavirus: Trudeau rejects 'oil is dead' claim from Greens, Bloc Quebecois” - Emily Honderich's Nuzzel Newsletter on Fri, May 8 2020",,none,none,0,0,0,0,
147,https://battlefordsnow.com/2020/05/31/ex-bloc-quebecois-leader-longtime-quebec-politician-michel-gauthier-dead-at-70/,"Ex-Bloc Quebecois leader, longtime Quebec politician Michel Gauthier dead at 70",,CAN,quebecois,0,0,0,0,
149,https://www.tripadvisor.ca/Attraction_Review-g155033-d10902522-Reviews-La_Fresque_des_Quebecois-Quebec_City_Quebec.html,La Fresque des Quebecois (Quebec City) - All You Need to Know BEFORE You Go,,none,none,0,0,0,0,
157,https://infotel.ca/newsitem/obit-michel-gauthier/cp292264202,"Ex-Bloc Quebecois leader, longtime Quebec politician Michel Gauthier dead at 70",,CAN,quebecois,0,0,0,0,
171,https://www.youtube.com/watch?v=JvGzpHPQuxk,Message sur la réalité Cubaine au peuple Canadien (Quebecois),,none,none,0,0,0,0,
185,https://www.youtube.com/watch?v=h_lPndez7Kk,"Pansy Division - ""Manada (Version Quebecois)""",,none,none,0,0,0,0,
191,https://www.youtube.com/watch?v=XVLKokldrY4,<U+F60F>LA VERITE SUR POTDENUTELLA DEADNOX AUTOCLICK + DRAMA FLOGAMES | UN QUEBECOIS VEUT VIOLER AMPOH !<U+F60F>,,none,none,0,0,0,0,
195,https://www.youtube.com/watch?v=3XV2jFooZM8,Art de l'e´coute accent quebecois,,none,none,0,0,0,0,
197,https://www.youtube.com/watch?v=ETENhU1rMvA,THE WHALE IS DEAD CALISSE,,none,none,0,0,0,0,
203,https://nationalpost.com/news/politics/senate-meets-to-vote-on-bill-on-wage-subsidy-disability-payments-for-covid-19,"Bloc Quebecois threatens election unless Trudeau, Morneau and Telford resign",,CAN,quebecois,1,1,0,0,
205,https://www.ctvnews.ca/politics/bloc-quebecois-leader-blanchet-denies-anonymous-allegation-against-him-1.5025174,Bloc Quebecois Leader Blanchet denies anonymous allegation against him,,none,none,0,0,0,0,
208,https://www.huffingtonpost.ca/entry/yves-francois-blanchet-bloc-quebecois-sex-assault-allegation_ca_5f14fc63c5b6cec246c46740,Bloc Quebecois Leader Denies Sexual Assault Allegation,,none,none,0,0,0,0,
214,https://www.youtube.com/watch?v=Y3o93xorL9U,Bloc Quebecois leader denies sexual misconduct allegations,,none,none,0,0,0,0,
218,https://www.youtube.com/watch?v=thTg8ppvTaE,Denyzee & Rita m'apprennent a parler QUEBECOIS!!! FAQUE... Je dois SUBIR <U+F61D>,,none,none,0,0,0,0,
220,https://www.theglobeandmail.com/canada/article-former-parti-quebecois-leader-andre-boisclair-pleads-not-guilty-to-two/,Former Parti Quebecois leader Andre Boisclair pleads not guilty to two sexual assault charges,,none,none,0,0,0,0,
221,https://www.youtube.com/watch?v=e3evfRzGfRY,"THE 2020 NIGHTMARE ESTI, BRO!",,none,none,0,0,0,0,
222,https://www.foodrelated.com/prod/GG-4505-Parent/veal-new-york-striploin-steak-6-oz-portions-grain-fed-frozen-by-le-quebecois.html,Veal New York Striploin Steak Portions Grain Fed Frozen by Le Quebecois,,none,none,0,0,0,0,
229,https://www.youtube.com/watch?v=pLN_byJfMD4,Message d'un cubain aux quebecois.,,none,none,0,0,0,0,
233,https://www.flare.com/tv-movies/quebecois-brooklyn-nine-nine-whitewashing/,Quebecois Brooklyn Nine Nine Whitewashing Called Out By Actor,,CAN,quebecois,0,0,1,3,
235,https://edmonton.citynews.ca/2020/08/12/bloc-quebecois-snap-election-trudeau/,Bloc Quebecois threatens to take down Trudeau government - CityNews Edmonton,,CAN,quebecois,1,1,0,0,
240,https://documenttruth.com/?p=294134,Tens of thousands of Quebecois stage mass march against plandemic oyranny,,none,none,0,0,0,0,
250,https://nationalpost.com/news/politics/cp-newsalert-bloc-leader-blanchet-tests-positive-for-covid-19,"Erin O'Toole and Bloc Quebecois leader Blanchet both test positive for COVID-19, remain in isolation",,CAN,quebecois,0,0,0,0,
254,https://montreal.ctvnews.ca/entire-bloc-quebecois-caucus-in-self-isolation-after-staffer-tests-positive-for-covid-19-1.5104356,Entire Bloc Quebecois caucus in self-isolation after staffer tests positive for COVID-19,,none,quebecois,0,0,0,0,
258,https://www.cbc.ca/listen/live-radio/1-111-up-to-speed/clip/15770086-where-the-waters-meet.-a-quebecois-story-that-has-travelled-the-art-of-translation-arriving-at-a-manitoba-publisher,"Where the Waters Meet. A Quebecois story that has travelled the art of translation, arriving at a Manitoba publisher. | Up To Speed | Live Radio | CBC Listen",,none,none,0,0,0,0,
263,https://www.iheartradio.ca/cjad/news/parti-quebecois-leader-files-police-complaint-over-threats-on-twitter-1.13493720,Parti Quebecois leader files police complaint over threats on Twitter,,CAN,quebecois,0,0,0,0,
267,https://www.youtube.com/watch?v=-dV1OhKtQNs,"Global National: Sept. 18, 2020 | Bloc Quebecois leader tests positive for COVID-19",,CAN,none,0,0,0,0,
268,https://www.durhamradionews.com/archives/129261,Bloc Quebecois leader Yves-Francois Blanchet tests positive for COVID-19,,CAN,quebecois,0,0,0,0,
271,https://sputniknews.com/world/202009241080554965-canadas-bloc-quebecois-issues-ultimatum-to-trudeau-that-could-set-stage-for-election/,Canada's Bloc Quebecois Issues Ultimatum to Trudeau That Could Set Stage for Election,,CAN,quebecois,1,1,0,0,
281,https://montreal.citynews.ca/2020/09/14/bloc-quebecois-leader-and-caucus-isolating-after-staffer-catches-covid-19/,Bloc Quebecois leader and caucus isolating after staffer catches COVID-19,,CAN,quebecois,0,0,0,0,
314,https://www.mgexp.com/forum/mgb-and-gt-forum.1/mgb-in-new-quebecois-music-video.4216976.4217185/,MGB in new Quebecois music video! : MGB & GT Forum : MG Experience Forums : The MG Experience,,none,none,0,0,0,0,
318,https://www.foodrelated.com/prod/GG-4506-Parent/veal-filet-mignon-4-oz-portions-grain-fed-frozen-by-le-quebecois.html,Veal Filet Mignon Portions Grain Fed Frozen by Le Quebecois,,none,none,0,0,0,0,
322,https://www.iheartradio.ca/cjad/news/paul-st-pierre-plamondon-elected-as-new-parti-quebecois-leader-1.13676667,Paul St-Pierre Plamondon elected as new Parti Quebecois leader,,CAN,quebecois,0,0,0,0,
334,https://canoe.com/news/national/lawyer-paul-st-pierre-plamondon-43-elected-new-leader-of-parti-quebecois,"Lawyer Paul St-Pierre Plamondon, 43, elected new leader of Parti Quebecois",,CAN,quebecois,0,0,0,0,
348,https://www.youtube.com/watch?v=P3sLsCGA_z0,SHITPOST QUEBECOIS – VOLUME 1.5,,none,none,0,0,0,0,
351,https://www.youtube.com/watch?v=BXXaktyLkIs,"NoReset x DreamHack Canada 2020 - A Quebecois to the Past showcase by Fleakee, Starx, jeuserieux, ko",,none,none,0,0,0,0,
353,https://www.youtube.com/watch?v=K0ysBZngMYY,How did Jacques Godin die? Quebecois actor Jacques Godin dies at 90,,none,none,0,0,0,0,
359,https://www.iheartradio.ca/cjad/news/a-parti-quebecois-government-would-hold-a-referendum-on-independence-in-its-first-term-if-elected-1.14002235,A Parti Quebecois government would hold a referendum on independence in its first term if elected,,CAN,quebecois,0,0,0,0,
368,https://thekey.xpn.org/2020/11/15/klo-pelgag-melamine/,"Quebecois pop artist Klô Pelgag releases chaotic music video for ""Mélamine"" - The Key",,none,none,0,0,0,0,
376,https://www.nationalnewswatch.com/2020/11/07/bloc-quebecois-mp-alain-therrien-in-isolation-after-positive-covid-19-test/,Bloc Quebecois MP Alain Therrien in isolation after positive COVID-19 test,,CAN,quebecois,0,0,0,0,
379,https://www.reddeeradvocate.com/news/bloc-quebecois-mp-alain-therrien-in-isolation-after-positive-covid-19-test/,Bloc Quebecois MP Alain Therrien in isolation after positive COVID-19 test,,CAN,quebecois,0,0,0,0,
380,https://www.kelownanow.com/news/news/National_News/Bloc_Quebecois_MP_Alain_Therrien_in_isolation_after_positive_COVID_19_test,Bloc Quebecois MP Alain Therrien in isolation after positive COVID-19 test,,CAN,quebecois,0,0,0,0,
384,https://www.youtube.com/watch?v=ujODEZycKOM,EXPRESSIONS ARE CONFUSING ESTI,,none,none,0,0,0,0,